code,name,description,price,quantity,image1,image2
LOG-MOU001,Logitech MX Master 3S Wireless Mouse,Ergonomic wireless mouse with precision tracking—ideal for long WFH sessions in humid PH offices.,1299.50,25,uploads/img1_68c1b026642ad.jpg,uploads/img2_68c1b0266c6ed.jpg
COR-KEY002,Corsair K70 RGB Pro Mechanical Keyboard,Gaming keyboard with Cherry MX switches and per-key RGB—perfect for late-night raids in Manila.,4599.00,15,,
DEL-MON003,Dell S2721QS 27-inch 4K Monitor,Ultra-sharp 4K IPS panel with adjustable stand—great for video editing in bright PH sunlight.,11299.00,10,uploads/img1_68c1b055f028a.jpg,uploads/img2_68c1b05603b88.jpg
HP-LAP004,HP Pavilion 15 Laptop (i7/16GB),Portable i7 laptop with SSD storage—essential for students commuting in Metro Manila traffic.,28999.00,5,,
RAZ-HEA005,Razer BlackShark V2 Pro Headset,Noise-cancelling wireless headset with THX spatial audio—top pick for PH esports tournaments.,8999.00,20,,
LOG-CAM006,Logitech C920 HD Webcam,Full HD webcam with auto-focus mic—ideal for Zoom calls during PH power outages.,3499.00,18,,
JBL-SPE007,JBL Charge 5 Bluetooth Speakers,Portable speakers with deep bass and waterproofing—perfect for beach trips in Boracay.,5999.00,12,,
IKE-CHA008,IKEA MARKUS Ergonomic Office Chair,Adjustable chair with lumbar support—built for 8-hour shifts in hot Cebu offices.,4999.00,8,,
SAM-TAB009,Samsung Galaxy Tab A9 (10.5-inch),Android tablet with expandable storage—great for streaming Pinoy teleseryes on the go.,12999.00,6,,
EPS-PRI010,Epson EcoTank L3250 Printer,All-in-one ink tank printer with wireless print—saves on ink for PH home businesses.,8999.00,9,uploads/img1_68c1b00352222.jpg,
AUD-MIC011,Audio-Technica AT2020 Condenser Mic,Cardioid mic with shock mount—pro choice for PH podcasters recording in noisy neighborhoods.,5999.00,14,uploads/img1_68c1b0f2c6c7f.jpg,
SAMS-SSD012,Samsung 970 EVO Plus 1TB NVMe SSD,High-speed SSD for quick boot times—boosts productivity in laggy PH internet setups.,4999.00,22,,
SEA-HDD013,Seagate Barracuda 2TB HDD,7200RPM desktop drive for reliable backups—essential for safeguarding family photos in typhoon-prone areas.,3599.00,16,uploads/img1_68c1b1b517360.jpg
INT-CPU014,Intel Core i7-13700K Processor,Multi-core CPU with integrated graphics—powers heavy multitasking for PH graphic designers.,18999.00,7,uploads/img1_68c1b2482fe0a.jpg,uploads/img2_68c1b24849e1d.jpg
